[INFO][2018-03-22 15:34:32.251927][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 15:34:56.197885][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 15:44:00.961607][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 15:44:08.177165][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 15:44:29.014989][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 15:44:35.119672][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 15:44:42.929117][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 15:44:48.209027][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 15:44:53.959161][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 15:44:58.960743][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 15:45:03.929433][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 15:45:09.063079][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 15:45:14.072779][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 15:45:18.999734][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 15:45:24.359118][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 15:45:29.367801][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 15:45:34.440730][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 15:45:39.497701][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 15:45:44.384760][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 15:45:49.265474][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 15:45:54.153243][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 15:45:59.002319][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 15:47:37.973560][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 15:47:55.255819][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 15:48:02.273136][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 15:48:09.128656][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 15:48:15.407709][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 15:48:24.704690][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 15:48:30.742771][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 15:48:36.648425][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 15:48:42.462150][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 15:48:48.368512][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 15:48:54.600081][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 15:49:00.752313][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 15:49:07.471996][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 15:49:13.496057][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 15:49:19.559900][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 15:49:25.454178][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 15:49:31.533907][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 15:49:37.392380][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 15:49:43.424408][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 15:49:51.072301][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 15:49:57.054978][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 15:57:08.645530][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 15:57:15.605825][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 15:57:26.897535][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 15:57:32.674960][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 15:57:39.004461][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 15:57:53.964820][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 15:57:59.389887][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 15:57:59.390009][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 15:58:09.797151][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 15:58:19.397848][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 16:01:35.931513][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 16:01:49.133997][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 16:01:55.795070][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 16:02:16.187311][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 16:02:21.444887][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 16:02:26.849881][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 16:02:36.501535][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 16:04:17.863912][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 16:04:24.840602][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 16:04:31.132871][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 16:04:36.253831][ Manual ]Contacted? (y/n)
